age,qx,lx,dx,Lx,Tx,ex,sex,year
73.0,0.06049,32221.0,1949.0,31246.0,311159.0,9.66,M,1900
74.0,0.06249,30272.0,1892.0,29326.0,279913.0,9.25,M,1900
75.0,0.06575,28380.0,1866.0,27447.0,250587.0,8.83,M,1900
76.0,0.07065,26514.0,1873.0,25578.0,223139.0,8.42,M,1900
77.0,0.07488,24641.0,1845.0,23719.0,197562.0,8.02,M,1900
78.0,0.07999,22796.0,1823.0,21884.0,173843.0,7.63,M,1900
79.0,0.08371,20973.0,1756.0,20095.0,151959.0,7.25,M,1900
80.0,0.09204,19217.0,1769.0,18333.0,131864.0,6.86,M,1900
81.0,0.09753,17448.0,1702.0,16597.0,113531.0,6.51,M,1900
82.0,0.1024,15747.0,1612.0,14940.0,96934.0,6.16,M,1900
83.0,0.11353,14134.0,1605.0,13332.0,81993.0,5.8,M,1900
84.0,0.12095,12530.0,1515.0,11772.0,68661.0,5.48,M,1900
85.0,0.13187,11014.0,1452.0,10288.0,56890.0,5.17,M,1900
86.0,0.14038,9562.0,1342.0,8891.0,46602.0,4.87,M,1900
87.0,0.15028,8219.0,1235.0,7602.0,37711.0,4.59,M,1900
88.0,0.16689,6984.0,1166.0,6401.0,30109.0,4.31,M,1900
89.0,0.17336,5819.0,1009.0,5314.0,23708.0,4.07,M,1900
90.0,0.18509,4810.0,890.0,4365.0,18394.0,3.82,M,1900
91.0,0.19691,3920.0,772.0,3534.0,14029.0,3.58,M,1900
92.0,0.21241,3148.0,669.0,2813.0,10495.0,3.33,M,1900
93.0,0.23458,2479.0,582.0,2188.0,7682.0,3.1,M,1900
94.0,0.25351,1898.0,481.0,1657.0,5493.0,2.89,M,1900
95.0,0.27339,1417.0,387.0,1223.0,3836.0,2.71,M,1900
96.0,0.29246,1029.0,301.0,879.0,2613.0,2.54,M,1900
97.0,0.31316,728.0,228.0,614.0,1735.0,2.38,M,1900
98.0,0.33011,500.0,165.0,418.0,1120.0,2.24,M,1900
99.0,0.35368,335.0,119.0,276.0,703.0,2.1,M,1900
100.0,0.37561,217.0,81.0,176.0,427.0,1.97,M,1900
101.0,0.39247,135.0,53.0,109.0,251.0,1.86,M,1900
102.0,0.41986,82.0,34.0,65.0,142.0,1.73,M,1900
103.0,0.44411,48.0,21.0,37.0,77.0,1.62,M,1900
104.0,0.46967,26.0,12.0,20.0,40.0,1.52,M,1900
105.0,0.49678,14.0,7.0,11.0,20.0,1.42,M,1900
106.0,0.52404,7.0,4.0,5.0,9.0,1.33,M,1900
107.0,0.55161,3.0,2.0,2.0,4.0,1.25,M,1900
108.0,0.57962,2.0,1.0,1.0,2.0,1.17,M,1900
109.0,0.60819,1.0,0.0,0.0,1.0,1.1,M,1900
110.0,0.63746,0.0,0.0,0.0,0.0,1.03,M,1900
111.0,0.66752,0.0,0.0,0.0,0.0,0.97,M,1900
112.0,0.69852,0.0,0.0,0.0,0.0,0.91,M,1900
113.0,0.73053,0.0,0.0,0.0,0.0,0.85,M,1900
114.0,0.76365,0.0,0.0,0.0,0.0,0.79,M,1900
115.0,0.79799,0.0,0.0,0.0,0.0,0.74,M,1900
116.0,0.83363,0.0,0.0,0.0,0.0,0.69,M,1900
117.0,0.87066,0.0,0.0,0.0,0.0,0.64,M,1900
118.0,0.90919,0.0,0.0,0.0,0.0,0.6,M,1900
119.0,0.94927,0.0,0.0,0.0,0.0,0.55,M,1900
1.0,0.03061,88031.0,2694.0,86683.0,5736358.0,65.16,F,1900
2.0,0.01489,85336.0,1270.0,84701.0,5649675.0,66.2,F,1900
3.0,0.01011,84066.0,850.0,83641.0,5564974.0,66.2,F,1900
4.0,0.00823,83216.0,684.0,82874.0,5481333.0,65.87,F,1900
5.0,0.00585,82532.0,483.0,82290.0,5398459.0,65.41,F,1900
6.0,0.00428,82049.0,351.0,81873.0,5316168.0,64.79,F,1900
7.0,0.00306,81697.0,250.0,81572.0,5234295.0,64.07,F,1900
8.0,0.00232,81447.0,189.0,81353.0,5152723.0,63.26,F,1900
9.0,0.00186,81258.0,151.0,81183.0,5071371.0,62.41,F,1900
10.0,0.00203,81107.0,164.0,81025.0,4990188.0,61.53,F,1900
11.0,0.00198,80943.0,160.0,80863.0,4909163.0,60.65,F,1900
12.0,0.00195,80783.0,157.0,80704.0,4828300.0,59.77,F,1900
13.0,0.00227,80626.0,183.0,80534.0,4747595.0,58.88,F,1900
14.0,0.00233,80442.0,187.0,80349.0,4667061.0,58.02,F,1900
15.0,0.00256,80255.0,205.0,80152.0,4586712.0,57.15,F,1900
16.0,0.00304,80050.0,243.0,79928.0,4506560.0,56.3,F,1900
17.0,0.00364,79806.0,290.0,79661.0,4426632.0,55.47,F,1900
18.0,0.00785,79516.0,624.0,79204.0,4346971.0,54.67,F,1900
19.0,0.00518,78892.0,408.0,78688.0,4267767.0,54.1,F,1900
20.0,0.00535,78484.0,420.0,78274.0,4189079.0,53.38,F,1900
21.0,0.00458,78064.0,357.0,77885.0,4110805.0,52.66,F,1900
22.0,0.00468,77707.0,363.0,77525.0,4032920.0,51.9,F,1900
23.0,0.00479,77343.0,370.0,77158.0,3955395.0,51.14,F,1900
24.0,0.00471,76973.0,363.0,76792.0,3878237.0,50.38,F,1900
25.0,0.00477,76610.0,365.0,76428.0,3801445.0,49.62,F,1900
26.0,0.00487,76245.0,371.0,76060.0,3725017.0,48.86,F,1900
27.0,0.00458,75874.0,347.0,75701.0,3648957.0,48.09,F,1900
28.0,0.00472,75527.0,356.0,75349.0,3573257.0,47.31,F,1900
29.0,0.00476,75171.0,358.0,74992.0,3497908.0,46.53,F,1900
30.0,0.00445,74813.0,333.0,74647.0,3422916.0,45.75,F,1900
31.0,0.00447,74481.0,333.0,74314.0,3348269.0,44.95,F,1900
